model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,500,92,0.9201283747090757,0.8512159534670082,-0.06891242124206753,0.0646905134615885,0.0016259661993532396,-0.06306454726223526
eta_0,500,93,0.9330022620530913,0.86290206898114,-0.07010019307195137,0.06820862454952951,0.0012080287565210685,-0.06700059579300845
eta_0,500,94,0.9103156958902354,0.8410016832304217,-0.06931401265981374,0.07243138797466786,0.0018137421117876307,-0.07061764586288023
eta_0,500,95,0.913436612122235,0.8411035188435326,-0.07233309327870241,0.063683691869506,0.0012145620144201714,-0.06246912985508583
eta_0,500,96,0.91940418045413,0.8484622283716003,-0.07094195208252962,0.07349107341457951,0.001602222162385958,-0.07188885125219356
eta_0,500,97,0.930438088482243,0.8603112078605164,-0.07012688062172656,0.06561034989209592,0.0012606696688880607,-0.06434968022320786
eta_0,500,98,0.923192990372141,0.8540157067211387,-0.06917728365100229,0.06605849907602494,0.0016441192473895814,-0.06441437982863536
eta_0,500,99,0.917015207710338,0.8473931545278843,-0.06962205318245362,0.06937378444123916,0.0011055681943306316,-0.06826821624690853
eta_0,5000,0,0.858564915978759,0.8522176511497341,-0.006347264829024812,0.006505367988280379,0.00015786327379375107,-0.006347504714486628
eta_0,5000,1,0.8584576263316182,0.8520392734656115,-0.006418352866006671,0.006442806173023536,0.00015020641215474187,-0.0062925997608687945
eta_0,5000,2,0.8610414261376125,0.8546030934234643,-0.006438332714148176,0.006747986616337132,0.00018670643195243267,-0.0065612801843846985
eta_0,5000,3,0.8649361313739075,0.8584892893083687,-0.006446842065538805,0.006489961256060268,0.00017931790305220714,-0.0063106433530080615
eta_0,5000,4,0.8585788179801251,0.8520039681765825,-0.006574849803542615,0.006720121709376428,0.00010423125194735905,-0.006615890457429069
eta_0,5000,5,0.8623914944961516,0.8557928039243036,-0.0065986905718480315,0.006819335936876378,0.00014899069794662906,-0.006670345238929749
eta_0,5000,6,0.8615876787592937,0.8549382225521884,-0.00664945620710522,0.006952806374245751,0.0001033821634042408,-0.006849424210841511
eta_0,5000,7,0.8574645853294109,0.8512012816628962,-0.00626330366651473,0.007203087354834309,0.00015242021150792186,-0.007050667143326387
