model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,500,21,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.038387067243675105,0.038387067243675105,0.16588440412782957,0.14722117731913006,1.4890893838666621,1.489089383866662,2.050762079259264
eta_0,500,22,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04409082334664891,0.044090823346648905,0.17149094263204617,0.15314852418996894,1.4920150568226185,1.4920150568226187,2.0504802148853973
eta_0,500,23,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03915673546382601,0.03915673546382601,0.1699146554593875,0.13647716932978252,1.4999353441369192,1.4999353441369192,2.050589878484418
eta_0,500,24,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.03666178428761652,0.03666178428761651,0.16977435641367067,0.14843195184198846,1.4951500192045757,1.4951500192045757,2.0504898901223023
eta_0,500,25,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04027166555703506,0.04027166555703506,0.17278353861517975,0.1363851808699512,1.491554504314788,1.491554504314788,2.049096701724037
eta_0,500,26,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.039406319351975146,0.039406319351975146,0.16827506380381715,0.14732071127385707,1.4893268061516591,1.4893268061516591,2.052232003486136
eta_0,500,27,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04193092543275632,0.04193092543275632,0.16827819851309367,0.1399275965379494,1.501387976814772,1.501387976814772,2.052231299831468
eta_0,500,28,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.04048790501553484,0.040487905015534835,0.17178456502441192,0.13961248890368397,1.485936916791326,1.485936916791326,2.050404032058531
eta_0,500,29,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0427926930758988,0.0427926930758988,0.16820786173990235,0.15159587217043943,1.496574639072358,1.496574639072358,2.049628296562834
eta_0,5000,0,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.01379424021241612,0.01379424021241612,0.16331119878460648,0.126653599520064,1.4886794700225814,1.4886794700225816,2.052329360083829
eta_0,5000,1,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012523682953383996,0.012523682953383996,0.1625835569146336,0.13663953917255478,1.4887376523400189,1.4887376523400189,2.0508721260469334
eta_0,5000,2,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012291894414078129,0.012291894414078129,0.1681258171132738,0.14285603030707017,1.4873262922131152,1.4873262922131152,2.0448210805126283
eta_0,5000,3,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012896982624538937,0.012896982624538937,0.1633797913056037,0.14220502155268186,1.4845861443035353,1.4845861443035353,2.0554836088427013
eta_0,5000,4,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013789786917299915,0.013789786917299915,0.16898316196729324,0.13941035195307291,1.4897679418223997,1.4897679418223997,2.0487502062096805
eta_0,5000,5,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013023852375238856,0.013023852375238856,0.16260251383148916,0.1370166255610363,1.4895342904090498,1.4895342904090498,2.0523847463903615
eta_0,5000,6,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013559021574901124,0.013559021574901122,0.1633301690330178,0.1310388364884682,1.4891429525532658,1.4891429525532656,2.0539494131216713
eta_0,5000,7,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012734284317646545,0.012734284317646545,0.16387206844642938,0.12780452384126562,1.4910403328302562,1.4910403328302564,2.0499333736865664
eta_0,5000,8,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013243651402035287,0.013243651402035287,0.16822403985024217,0.13457501888637072,1.4884749346874204,1.4884749346874204,2.0477832609987625
