model,horizon,requested_k,matching_target,repeat,method,discovered_closure_tv,ari_B16,ari_AA20,ari_L23
ECMunrest,0.05,16,B16,27,jump_profile,0.02545893864441006,0.46653836827142847,0.61132609134847,0.48574574609018806
ECMunrest,0.05,16,B16,27,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,28,jump_profile,0.03199503733125159,0.41690424283078986,0.41917333910409005,0.3633272712896339
ECMunrest,0.05,16,B16,28,spectral,0.011570349307993697,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,16,B16,29,jump_profile,0.02574501433832249,0.3502332365235214,0.40675905664964745,0.3252492291525517
ECMunrest,0.05,16,B16,29,spectral,0.011570349307993699,0.5552154612906844,0.7938492734031768,0.6395767309448354
ECMunrest,0.05,20,AA20,0,jump_profile,0.025952511286881662,0.3215248518431233,0.4716144344542037,0.35798234159081604
ECMunrest,0.05,20,AA20,0,spectral,0.010413836404041253,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,1,jump_profile,0.023190446551436487,0.3384422335753339,0.5494911285238224,0.390435403283369
ECMunrest,0.05,20,AA20,1,spectral,0.010413836404041256,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,2,jump_profile,0.0207861625224352,0.3154375763544932,0.4129849022710748,0.2813675160328928
ECMunrest,0.05,20,AA20,2,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,3,jump_profile,0.026221699359213042,0.43183203050192376,0.5625404488289517,0.45899603855022764
ECMunrest,0.05,20,AA20,3,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,4,jump_profile,0.030027489229281775,0.4124222568408034,0.5462529798713054,0.43723514264279484
ECMunrest,0.05,20,AA20,4,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,5,jump_profile,0.024805273656705006,0.33624008887671397,0.4221631449481291,0.32060952766668355
ECMunrest,0.05,20,AA20,5,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,6,jump_profile,0.028198761465405064,0.37405614714424007,0.5309975669099757,0.40737018425460636
ECMunrest,0.05,20,AA20,6,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,7,jump_profile,0.03082000483410851,0.4372337918388697,0.5561561249415311,0.45309606876254704
ECMunrest,0.05,20,AA20,7,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,8,jump_profile,0.030393561227284205,0.38460799385088396,0.530675790655153,0.4181657812147443
ECMunrest,0.05,20,AA20,8,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,9,jump_profile,0.02499399753480979,0.4032540418082587,0.5530095346471491,0.41472349828458455
ECMunrest,0.05,20,AA20,9,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,10,jump_profile,0.0353397315004648,0.4015411875230405,0.43691634851499345,0.3630243922220645
ECMunrest,0.05,20,AA20,10,spectral,0.010413836404041256,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,11,jump_profile,0.02297879579750889,0.34993028957869265,0.5582484430068073,0.3774507170865338
ECMunrest,0.05,20,AA20,11,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,12,jump_profile,0.018445107053663798,0.41101469368555266,0.5958606274378068,0.4359895423725211
ECMunrest,0.05,20,AA20,12,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,13,jump_profile,0.02749505105031886,0.3846931805545995,0.532947313011437,0.39453021145358835
ECMunrest,0.05,20,AA20,13,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,14,jump_profile,0.019019614922701922,0.38705861763055144,0.6226552407983552,0.4210493738007304
ECMunrest,0.05,20,AA20,14,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,15,jump_profile,0.024902237580606584,0.4450988395824829,0.6837156164865102,0.49826578138935684
ECMunrest,0.05,20,AA20,15,spectral,0.010413836404041256,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,16,jump_profile,0.027921024645367575,0.34213632656565224,0.49218434282204226,0.34682455414184676
ECMunrest,0.05,20,AA20,16,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,17,jump_profile,0.02873572725389134,0.4351042367182246,0.5187436676798379,0.41676104190260477
ECMunrest,0.05,20,AA20,17,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,18,jump_profile,0.019876696565783284,0.39066011820527763,0.524385653600043,0.41249822583588475
ECMunrest,0.05,20,AA20,18,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,19,jump_profile,0.021854371122785883,0.4218301760416535,0.564111358829246,0.4486070876260591
ECMunrest,0.05,20,AA20,19,spectral,0.010413836404041256,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,20,jump_profile,0.03100274830673636,0.4390947868509106,0.6064667706588095,0.4955119864146616
ECMunrest,0.05,20,AA20,20,spectral,0.010413836404041255,0.7059402239143695,1.0,0.8333447168909227
ECMunrest,0.05,20,AA20,21,jump_profile,0.03139824104124396,0.3835131887752237,0.509754157995364,0.404195194113073
